Language,R,G,B,Hex
Power Query,210,141,13,#d38e0d
PowerBuilder,143,15,140,#8f0f8d
Praat,200,80,108,#c8506d
Prisma,12,52,75,#0c344b
Pro*C,187,131,104,#bb8368
Processing,0,149,216,#0096d8
Procfile,58,46,99,#3b2f63
Prolog,116,40,59,#74283c
Promela,222,0,0,#de0000
Propeller Spin,127,162,166,#7fa2a7
Pug,168,99,84,#a86454
Puppet,47,43,109,#302b6d
PureBasic,89,105,134,#5a6986
PureScript,29,34,45,#1d222d
Pyret,238,30,16,#ee1e10
Python console,53,114,165,#3572a5
Python traceback,53,114,165,#3572a5
Q#,254,213,88,#fed659
QML,67,165,27,#44a51c
Qt Script,0,184,65,#00b841
Quake,136,33,51,#823
QuakeC,151,87,118,#975777
QuickBASIC,0,127,128,#008080
Quint,157,107,229,#9d6ce5
R,25,139,230,#198ce7
RAML,118,216,251,#77d9fb
RAScript,44,151,249,#2c97fa
RBS,112,21,22,#701516
RDoc,112,21,22,#701516
REXX,217,13,8,#d90e09
RMarkdown,25,139,230,#198ce7
RON,166,44,0,#a62c00
ROS Interface,34,49,77,#22314e
RPGLE,43,222,32,#2bde21
RUNOFF,102,89,78,#665a4e
Racket,60,91,169,#3c5caa
Ragel,157,82,0,#9d5200
Raku,0,0,251,#0000fb
Rascal,255,249,160,#fffaa0
ReScript,237,79,80,#ed5051
Reason,255,88,70,#ff5847
ReasonLIGO,255,88,70,#ff5847
Rebol,53,138,91,#358a5b
Record Jar,6,114,186,#0673ba
Red,245,0,0,#f50000
Redscript,244,67,53,#f44336
Regular Expression,0,154,0,#009a00
Ren'Py,255,127,127,#ff7f7f
Rez,255,218,179,#ffdab3
Ring,45,84,203,#2d54cb
Riot,167,30,73,#a71e49
RobotFramework,0,192,181,#00c0b5
Roc,123,56,245,#7c38f5
Rocq Prover,208,181,140,#d0b68c
Roff,236,222,190,#ecdebe
Roff Manpage,236,222,190,#ecdebe
Rouge,204,0,135,#c08
RouterOS Script,222,57,64,#de3941
SAS,179,73,54,#b34936
SCSS,198,82,139,#c6538c
SPARQL,11,68,151,#0c4597
SQF,63,63,63,#3f3f3f
SQL,227,140,0,#e38c00
SQLPL,227,140,0,#e38c00
SRecode Template,51,138,52,#348a34
STL,55,59,94,#373b5e
SVG,255,152,0,#f90
Sail,37,156,213,#259dd5
SaltStack,100,100,100,#646464
Sass,165,58,111,#a53b70
Scaml,188,24,25,#bd181a
Scenic,253,198,0,#fdc700
Scheme,30,73,236,#1e4aec
Scilab,202,15,32,#ca0f21
Self,5,121,170,#0579aa
ShaderLab,33,43,55,#222c37
ShellCheck Config,206,207,203,#cecfcb
Shen,18,15,20,#120f14
Simple File Verification,201,191,237,#c9bfed
Singularity,100,230,173,#64e6ad
Slang,31,190,201,#1fbec9
Slash,0,125,255,#007eff
Slice,0,62,162,#003fa2
Slim,43,43,43,#2b2b2b
Slint,35,120,244,#2379f4
SmPL,201,73,73,#c94949
Smalltalk,88,103,6,#596706
Smarty,240,192,64,#f0c040
Smithy,196,68,54,#c44536
Snakemake,65,145,120,#419179
Solidity,170,102,70,#aa6746
SourcePawn,246,157,28,#f69e1d
SpiceDB Schema,165,48,137,#a5318a
Squirrel,128,0,0,#800000
Stan,178,0,28,#b2011d
Standard ML,220,85,108,#dc566d
Starlark,118,210,116,#76d275
Stata,25,94,145,#1a5f91
StringTemplate,63,179,79,#3fb34f
Stylus,255,98,70,#ff6347
SubRip Text,158,0,0,#9e0101
SugarSS,47,204,159,#2fcc9f
SuperCollider,70,57,11,#46390b
SurrealQL,255,0,159,#ff00a0
Survex data,255,204,153,#fc9
Svelte,255,61,0,#ff3e00
Sway,0,245,139,#00f58c
Sweave,25,139,230,#198ce7
SystemVerilog,218,225,194,#dae1c2
TI Program,159,170,135,#a0aa87
TL-Verilog,196,0,35,#c40023
TLA,74,0,121,#4b0079
TMDL,240,201,18,#f0c913
TOML,156,65,32,#9c4221
TSQL,227,140,0,#e38c00
TSV,35,115,70,#237346
TSX,48,120,198,#3178c6
TXL,0,120,184,#0178b8
Tact,71,181,255,#48b5ff
Talon,51,51,51,#333
Tcl,228,204,152,#e4cc98
TeX,60,97,23,#3d6117
Teal,0,176,188,#00b1bc
Terra,0,0,76,#00004c
Terraform Template,122,66,187,#7b42bb
TextGrid,200,80,108,#c8506d
TextMate Properties,222,102,228,#df66e4
Textile,255,231,172,#ffe7ac
Thrift,209,32,38,#d12127
Toit,194,201,251,#c2c9fb
Tor Config,88,49,107,#59316b
Tree-sitter Query,142,166,75,#8ea64c
Turing,206,20,42,#cf142b
Twig,192,208,38,#c1d026
TypeSpec,74,53,101,#4a3665
Typst,34,157,173,#239dad
Unified Parallel C,78,54,23,#4e3617
Unity3D Asset,33,43,55,#222c37
Uno,153,50,204,#93c
UnrealScript,165,75,76,#a54c4d
Untyped Plutus Core,54,173,189,#36adbd
UrWeb,204,204,238,#cce
V,79,134,196,#4f87c4
VBA,133,125,177,#867db1
VBScript,21,219,220,#15dcdc
VCL,20,138,168,#148aa8
VHDL,173,178,203,#adb2cb
Vala,165,109,226,#a56de2
Valve Data Format,242,96,36,#f26025
Velocity Template Language,80,124,254,#507cff
Vento,255,0,127,#ff0080
Verilog,177,183,248,#b2b7f8
Vim Help File,24,159,75,#199f4b
Vim Script,24,159,75,#199f4b
Vim Snippet,24,159,75,#199f4b
Visual Basic .NET,148,92,183,#945db7
Visual Basic 6.0,44,99,83,#2c6353
Volt,31,31,31,#1f1f1f
Vue,65,184,131,#41b883
Vyper,159,76,242,#9f4cf2
WDL,66,241,244,#42f1f4
WGSL,25,94,154,#1a5e9a
Web Ontology Language,91,112,189,#5b70bd
WebAssembly,4,19,59,#04133b
WebAssembly Interface Type,97,80,231,#6250e7
Whiley,212,194,151,#d5c397
Wikitext,252,87,87,#fc5757
Windows Registry Entries,82,212,254,#52d5ff
Witcher Script,255,0,0,#f00
Wolfram Language,221,17,0,#d10
Wollok,162,55,56,#a23738
World of Warcraft Addon Data,247,228,63,#f7e43f
Wren,56,56,56,#383838
X10,75,107,239,#4b6bef
XC,152,218,7,#99da07
XML,0,95,172,#0060ac
XML Property List,0,95,172,#0060ac
XQuery,82,49,231,#5232e7
XSLT,235,140,235,#eb8ceb
Xmake,34,159,120,#22a079
Xojo,128,189,65,#81bd41
Xonsh,40,93,239,#285eef
Xtend,36,37,93,#24255d
YAML,203,23,29,#cb171e
YARA,34,0,0,#200
YASnippet,49,171,144,#32ab90
Yacc,75,108,75,#4b6c4b
Yul,121,73,49,#794932
ZAP,12,102,93,#0d665e
